Date,Open,High,Low,Close,Volume,OpenInt
40570 ,29.132,29.278,29.132,29.278,352,0
40571 ,29.179,29.179,29.141,29.141,678,0
40574 ,28.928,28.948,28.928,28.928,695,0
40575 ,29.443,29.443,29.376,29.376,1441,0
40576 ,29.5,29.5,29.472,29.482,608,0
40577 ,29.366,29.537,29.278,29.537,824,0
40578 ,29.326,29.426,29.268,29.426,690,0
40581 ,29.366,29.472,29.366,29.472,679,0
40582 ,29.625,29.625,29.306,29.306,930,0
40583 ,29.376,29.376,29.278,29.278,824,0
40584 ,29.025,29.218,29.025,29.169,1032,0
40585 ,29.346,29.346,29.346,29.346,101,0
40588 ,29.306,29.316,29.306,29.316,226,0
40589 ,29.434,29.453,29.278,29.278,2549,0
40591 ,29.376,29.714,29.376,29.665,2683,0
40592 ,29.78,29.859,29.78,29.859,1133,0
40596 ,29.753,29.753,29.179,29.179,14569,0
40597 ,29.326,29.326,29.035,29.094,3416,0
40598 ,29.045,29.045,29.045,29.045,513,0
40599 ,29.248,29.306,29.248,29.306,9604,0
40602 ,29.596,29.596,29.547,29.567,2151,0
40603 ,29.509,29.509,29.376,29.376,7736,0
40604 ,29.416,29.416,29.416,29.416,10318,0
40605 ,29.694,29.694,29.694,29.694,101,0
40606 ,29.625,29.665,29.625,29.665,929,0
40610 ,29.443,29.714,29.426,29.694,12252,0
40611 ,29.615,29.714,29.547,29.645,896,0
40612 ,29.297,29.297,29.075,29.075,257,0
40613 ,29.103,29.103,29.103,29.103,1032,0
40616 ,29.045,29.045,28.833,28.833,2063,0
40617 ,28.174,28.658,28.174,28.658,7942,0
40618 ,28.388,28.397,27.678,27.805,32520,0
40619 ,28.203,28.212,28.135,28.135,886,0
40620 ,28.298,28.298,28.298,28.298,206,0
40623 ,28.823,28.823,28.823,28.823,1032,0
40624 ,28.898,28.898,28.898,28.898,206,0
40625 ,29.025,29.035,29.025,29.035,513,0
40626 ,29.065,29.326,29.065,29.326,1080,0
40627 ,29.356,29.5,29.287,29.297,1934,0
40630 ,29.406,29.406,29.199,29.199,206,0
40631 ,29.16,29.16,29.16,29.16,411,0
40632 ,29.416,29.567,29.356,29.537,2849,0
40634 ,29.986,30.093,29.956,30.093,1650,0
40637 ,30.13,30.13,30.13,30.13,101,0
40638 ,30.13,30.13,30.13,30.13,196,0
40639 ,30.49,30.49,30.197,30.226,1341,0
40640 ,30.256,30.256,29.986,30.034,10935,0
40641 ,30.12,30.216,30.12,30.16,1018,0
40644 ,30.102,30.102,30.102,30.102,482,0
40646 ,29.956,29.996,29.956,29.996,530,0
40648 ,29.916,29.916,29.916,29.916,206,0
40651 ,29.326,29.326,29.326,29.326,201,0
40652 ,29.684,29.986,29.684,29.976,1288,0
40653 ,30.518,30.518,30.364,30.364,6911,0
40659 ,30.567,30.567,30.567,30.567,411,0
40660 ,30.452,30.715,30.452,30.715,5682,0
40661 ,30.782,30.792,30.773,30.792,1263,0
40662 ,30.974,31.014,30.974,31.014,414,0
40665 ,31.148,31.206,31.138,31.206,508,0
40666 ,30.935,31.265,30.646,30.646,628,0
40667 ,30.626,30.626,30.414,30.452,2394,0
40668 ,30.345,30.527,30.256,30.527,1620,0
40672 ,30.404,30.442,30.404,30.442,471,0
40674 ,30.335,30.335,30.14,30.14,1460,0
40675 ,30.16,30.46,30.16,30.46,618,0
40676 ,30.384,30.557,29.907,29.907,513,0
40679 ,30.286,30.286,30.286,30.286,186,0
40680 ,30.16,30.16,30.16,30.16,1406,0
40682 ,30.646,30.646,30.646,30.646,503,0
40683 ,30.374,30.374,30.374,30.374,166,0
40686 ,29.761,29.859,29.694,29.723,5697,0
40687 ,29.596,29.996,29.596,29.839,10479,0
40688 ,29.819,30.034,29.819,30.034,896,0
40689 ,29.867,30.12,29.867,30.102,818,0
40690 ,30.557,30.557,30.557,30.557,340,0
40694 ,30.705,30.782,30.705,30.782,770,0
40696 ,30.705,30.705,30.705,30.705,101,0
40700 ,30.695,30.695,30.577,30.685,792,0
40703 ,30.256,30.256,30.256,30.256,618,0
40704 ,29.946,29.946,29.877,29.877,3313,0
40709 ,29.519,29.519,29.519,29.519,309,0
40710 ,29.5,29.5,29.045,29.199,930,0
40711 ,29.179,29.179,29.085,29.085,618,0
40714 ,29.085,29.297,29.015,29.248,2755,0
40715 ,29.576,29.714,29.519,29.714,411,0
40716 ,29.645,29.665,29.645,29.665,540,0
40717 ,29.16,29.287,29.16,29.287,411,0
40718 ,29.268,29.406,29.268,29.406,513,0
40723 ,30.364,30.442,30.364,30.442,1238,0
40724 ,30.424,30.745,30.424,30.745,1545,0
40729 ,30.745,30.848,30.705,30.848,904,0
40730 ,30.745,30.838,30.745,30.782,6394,0
40731 ,30.935,30.935,30.896,30.896,1032,0
40732 ,30.735,30.763,30.735,30.763,618,0
40735 ,30.216,30.216,30.216,30.216,101,0
40736 ,29.976,29.976,29.976,29.976,121,0
40737 ,30.246,30.246,30.246,30.246,309,0
40738 ,30.325,30.325,29.743,29.887,2471,0
40742 ,29.529,29.645,29.376,29.376,2577,0
40743 ,29.366,29.859,29.366,29.859,2871,0
40744 ,29.996,30.12,29.996,30.093,2166,0
40745 ,30.179,30.315,30.179,30.266,1391,0
40746 ,30.384,30.537,30.384,30.537,824,0
40749 ,30.46,30.597,30.404,30.597,2268,0
40750 ,30.414,30.47,30.414,30.46,3619,0
40751 ,30.093,30.345,30.093,30.14,1597,0
40753 ,29.704,29.704,29.704,29.704,101,0
40757 ,29.547,29.547,29.297,29.297,746,0
40759 ,28.532,28.532,27.97,27.97,909,0
40760 ,27.678,27.678,27.582,27.582,7721,0
40763 ,26.408,26.866,24.789,26.136,10861,0
40764 ,26.923,27.388,26.757,27.388,411,0
40765 ,26.574,26.574,26.574,26.574,130,0
40766 ,27.194,27.494,27.175,27.494,503,0
40767 ,27.019,27.903,27.019,27.776,2186,0
40771 ,27.98,27.98,27.98,27.98,449,0
40772 ,28.288,28.288,28.078,28.115,1751,0
40777 ,27.135,27.824,26.535,26.535,1186,0
40779 ,27.533,27.533,27.252,27.252,262,0
40784 ,28.415,28.415,28.415,28.415,513,0
40785 ,28.125,28.493,28.078,28.368,2898,0
40786 ,28.648,28.851,28.608,28.851,1382,0
40787 ,28.745,28.793,28.745,28.793,206,0
40788 ,28.106,28.106,28.106,28.106,1133,0
40792 ,27.204,28.433,27.125,27.397,58652,0
40793 ,27.795,28.221,27.795,28.184,1032,0
40794 ,28.049,28.049,28.019,28.019,61599,0
40795 ,27.476,27.649,27.311,27.311,9047,0
40799 ,27.184,27.242,27.048,27.242,2080,0
40800 ,26.923,27.543,26.923,27.466,3547,0
40801 ,27.514,27.63,27.436,27.63,86953,0
40802 ,27.494,27.494,27.446,27.494,1815,0
40805 ,26.836,26.846,26.633,26.816,1701,0
40808 ,25.603,25.603,24.859,24.859,2336,0
40809 ,25.207,25.207,25.069,25.148,8282,0
40812 ,25.216,25.381,25.216,25.381,1401,0
40813 ,26.107,26.574,26.107,26.574,6558,0
